SYMBOL,PCLOSE,OPEN,HIGH,LOW,CLOSE,CHANGE,%CHANGE,TRADES,VOLUME,VALUE,DATE
OANDO,61.2,61.2,61,60.05,60.15,-1.05,-1.72,679,7939823,479401922.2,29/07/2025
OKOMUOIL,1000,1000,1050,1000,1050,50,5,667,2969177,3017152862,29/07/2025
OMATEK,1.34,1.34,1.36,1.3,1.3,-0.04,-2.99,89,2736029,3619034.26,29/07/2025
PRESCO,1550,1550,1550,1550,1550,0,0,405,727421,1125680375,29/07/2025
PRESTIGE,1.21,1.21,1.25,1.13,1.21,0,0,78,2537502,3015200.75,29/07/2025
PZ,37.05,37.05,39.75,37.2,39.45,2.4,6.48,183,3351823,128778134.5,29/07/2025
REDSTAREX,12.42,12.42,0,0,12.42,0,0,51,248707,2857333.38,29/07/2025
REGALINS,0.78,0.78,0.85,0.77,0.83,0.05,6.41,120,20332199,16311170.18,29/07/2025
ROYALEX,1.37,1.37,1.5,1.4,1.4,0.03,2.19,195,74075425,110802595.9,29/07/2025
RTBRISCOE,3.91,3.91,3.67,3.67,3.67,-0.24,-6.14,98,1678406,6379596.01,29/07/2025
SCOA,5,5,0,0,5,0,0,17,43000,235277.94,29/07/2025
SEPLAT,5450,5450,0,0,5450,0,0,109,79311,418031600.1,29/07/2025
SFSREIT,249.25,249.25,0,0,249.25,0,0,20,36465,9566320.65,29/07/2025
SKYAVN,81.9,81.9,0,0,81.9,0,0,29,61444,4984890.5,29/07/2025
SOVRENINS,1.72,1.72,1.89,1.75,1.89,0.17,9.88,172,12600226,23676071.55,29/07/2025
STANBIC,99.75,99.75,101,100.1,101,1.25,1.25,152,13614069,1374488605,29/07/2025
STERLINGNG,6.65,6.65,6.98,6.7,6.7,0.05,0.75,317,6280346,42780518.32,29/07/2025
SUNUASSUR,4.64,4.64,4.66,4.18,4.58,-0.06,-1.29,126,13439825,58361806.91,29/07/2025
TANTALIZER,2.7,2.7,2.75,2.68,2.7,0,0,113,2284263,6218508.46,29/07/2025
THOMASWY,2.9,2.9,3.19,3.04,3.19,0.29,10,37,2299090,7285864.49,29/07/2025
TRANSCOHOT,142.4,142.4,149.8,149.8,149.8,7.4,5.2,86,209341,30976693.9,29/07/2025
TRANSCORP,49.5,49.5,53.85,50,52.55,3.05,6.16,481,10743149,559200827,29/07/2025
TRANSEXPR,2.15,2.15,0,0,2.15,0,0,1,2850,6726,29/07/2025
TRANSPOWER,320,320,0,0,320,0,0,82,84292,24276096,29/07/2025
TRIPPLEG,3.86,3.86,3.86,3.86,3.86,0,0,25,286126,1106802.86,29/07/2025
UACN,60.4,60.4,66.4,66.4,66.4,6,9.93,92,1172045,77805105.95,29/07/2025
UBA,46.65,46.65,47.8,46.7,47.8,1.15,2.47,863,22495571,1059950137,29/07/2025
UCAP,21,21,20.85,20.3,20.8,-0.2,-0.95,465,11977062,247792257.4,29/07/2025
